
2024/07/04 (12:41:57) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/04 (12:41:57) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/04 (13:06:41) | ===> btop++ v.1.3.2
2024/07/04 (13:06:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/04 (13:06:41) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/04 (22:50:08) | ===> btop++ v.1.3.2
2024/07/04 (22:50:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/04 (22:50:08) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/05 (11:00:54) | ===> btop++ v.1.3.2
2024/07/05 (11:00:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/05 (11:00:54) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/06 (09:00:04) | ===> btop++ v.1.3.2
2024/07/06 (09:00:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/06 (09:00:04) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/06 (09:16:28) | ===> btop++ v.1.3.2
2024/07/06 (09:16:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/06 (09:16:28) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/06 (13:01:14) | ===> btop++ v.1.3.2
2024/07/06 (13:01:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/06 (13:01:14) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/06 (16:12:34) | ===> btop++ v.1.3.2
2024/07/06 (16:12:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2024/07/06 (16:12:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2024/07/06 (16:48:18) | ===> btop++ v.1.3.2
2024/07/06 (16:48:18) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
